DISTINCT_PLAY_COUNT,CLIENT_COUNT
281,1
293,1
298,1
299,1
300,2
301,2
302,2
303,2
304,1
305,5
306,5
307,3
308,5
309,3
310,4
311,1
312,3
313,3
314,4
315,6
316,5
317,9
318,9
319,10
320,6
321,13
322,14
323,11
324,8
325,7
326,9
327,11
328,16
329,17
330,19
331,14
332,13
333,16
334,21
335,22
336,24
337,24
338,26
339,16
340,14
341,18
342,19
343,21
344,24
345,18
346,22
347,35
348,26
349,18
350,27
351,16
352,29
353,16
354,29
355,19
356,14
357,17
358,27
359,13
360,18
361,13
362,22
363,8
364,14
365,8
366,4
367,9
368,10
369,7
370,5
371,4
372,4
373,8
374,2
375,5
376,4
377,8
378,3
379,2
381,3
382,4
383,1
384,2
385,2
386,1
387,3
388,1
389,3
390,1
391,1
392,1
393,1
